IDv4	IDv3	PosV3	PosV4	Symbol	Cloned	GeneName	Functional description
Zm00001d000001	GRMZM5G851266	10:59669631-59671907	B73V4_ctg150:48820-51164	 ppo1		polyphenol oxidase1	vegetative meristem cDNA 7C02D02
Zm00001d000002	GRMZM2G141399	10:59516234-59527812	B73V4_ctg150:193401-204736	 du1		dull endosperm1	glassy, tarnished endosperm; encodes a starch synthase III, that with an isoamylase-type debranching enzyme represses accumulation of phytoglycogen
Zm00001d000004	GRMZM2G142565	10:59447597-59458559	B73V4_ctg150:262374-271967	-		-	Postsynaptic protein CRIPT
Zm00001d000005	GRMZM2G142620	10:59445365-59448952	B73V4_ctg150:272045-275576	-		-	myosin heavy chain-related
Zm00001d000006	GRMZM2G087111	10:59257881-59259065	B73V4_ctg150:478489-479634	-		-	Germin-like protein subfamily 1 member 11
Zm00001d000008	NA	NA	B73V4_ctg150:572908-573968	-		-	Germin-like protein subfamily 1 member 8
Zm00001d000011	NA	NA	B73V4_ctg150:728868-734454	-		-	glyoxalase I homolog
Zm00001d000012	NA	NA	B73V4_ctg150:735500-736575	-		-	Germin-like protein subfamily 1 member 8
Zm00001d000013	NA	NA	B73V4_ctg150:816802-818350	-		-	Reverse transcriptase
Zm00001d000016	GRMZM2G097509	10:58620069-58620860	B73V4_ctg150:1141510-1142256	-		-	Fatty acid desaturase 4 chloroplastic
Zm00001d000017	GRMZM2G178817	10:58462121-58463265	B73V4_ctg150:1171438-1172477	-		-	Germin-like protein
Zm00001d000018	NA	NA	B73V4_ctg150:1299160-1300259	-		-	Germin-like protein subfamily 1 member 8
Zm00001d000020	GRMZM2G175401	10:58402924-58403996	B73V4_ctg150:1370542-1371450	-		-	Fatty acid desaturase 4 chloroplastic
Zm00001d000021	GRMZM2G180720	10:58309702-58313911	B73V4_ctg150:1459856-1464045	 gpt1		glucose 6-phosphate/phosphate translocator1	-
Zm00001d000023	GRMZM2G012761	10:58193802-58208208	B73V4_ctg150:1548548-1563325	-		-	Polyadenylation and cleavage factor homolog 5
Zm00001d000026	NA	NA	B73V4_ctg182:41961-43672	-		-	UDP-N-acetylglucosamine (UAA) transporter family
Zm00001d000027	GRMZM5G843478	9:115425224-115425953	B73V4_ctg182:51471-61298	-		-	Pleiotropic drug resistance ABC transporter family protein
Zm00001d000028	GRMZM2G069807	9:115402589-115404750	B73V4_ctg182:72804-74351	-		-	hydroxyproline-rich glycoprotein family protein
Zm00001d000029	NA	NA	B73V4_ctg182:112441-117019	-		-	Dual-specificity protein-like phosphatase 1%3B Protein-tyrosine phosphatase mitochondrial 1
Zm00001d000030	GRMZM2G119146	9:115351180-115354729	B73V4_ctg182:118656-122184	-		-	RNA-binding KH domain-containing protein PEPPER
Zm00001d000032	GRMZM2G025133	9:115206275-115207077	B73V4_ctg182:259037-259393	-		-	Protein TAPETUM DETERMINANT 1
Zm00001d000034	GRMZM2G041125	9:115078845-115084341	B73V4_ctg182:378277-384064	-		-	Protein kinase superfamily protein
Zm00001d000037	GRMZM2G368610	9:115003094-115004845	B73V4_ctg182:458832-460400	-		-	Phospholipase A1-Ibeta2 chloroplastic
Zm00001d000038	GRMZM2G067734	9:114985042-114989301	B73V4_ctg182:474177-478548	-		-	Serine/threonine-protein kinase D6PKL1
Zm00001d000040	NA	NA	B73V4_ctg182:631843-638267	-		-	alpha/beta-Hydrolases superfamily protein
Zm00001d000041	GRMZM2G093880	9:114801181-114843375	B73V4_ctg182:664090-674232	-		-	alpha/beta-Hydrolases superfamily protein
Zm00001d000042	GRMZM2G028796	9:114714281-114741519	B73V4_ctg182:729582-756794	-		-	Protein ARABIDILLO 1
Zm00001d000044	GRMZM2G150489	9:114582399-114587816	B73V4_ctg182:945691-947103	-		-	U-box domain-containing protein 31
